"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"066049","L'Aquila","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",69558,"e","dato stimato"
"067041","Teramo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",51548,"e","dato stimato"
"068028","Pescara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",118657,"e","dato stimato"
"069022","Chieti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",48455,"e","dato stimato"
"094023","Isernia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",20617,"e","dato stimato"
"061022","Caserta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",72805,"e","dato stimato"
"062008","Benevento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",56201,"e","dato stimato"
"063049","Napoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",913462,"e","dato stimato"
"065116","Salerno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",127186,"e","dato stimato"
"071024","Foggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",145348,"e","dato stimato"
"072006","Bari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",316015,"e","dato stimato"
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",188098,"e","dato stimato"
"075035","Lecce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",94517,"e","dato stimato"
"110001","Andria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",97146,"e","dato stimato"
"110002","Barletta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",92427,"e","dato stimato"
"110009","Trani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",54941,"e","dato stimato"
"077014","Matera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",59685,"e","dato stimato"
"078045","Cosenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",63760,"e","dato stimato"
"080063","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",170951,"e","dato stimato"
"102047","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",31092,"e","dato stimato"
"018003","Albonese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",541,"e","dato stimato"
"014002","Albosaggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",2990,"e","dato stimato"
"005002","Albugnano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",496,"e","dato stimato"
"018004","Albuzzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3582,"e","dato stimato"
"081001","Alcamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",44569,"e","dato stimato"
"083001","Alcara li Fusi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1702,"e","dato stimato"
"022003","Aldeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",3228,"e","dato stimato"
"021001","Aldino/Aldein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1629,"e","dato stimato"
"095004","Ales","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",1264,"e","dato stimato"
"078007","Alessandria del Carretto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",357,"e","dato stimato"
