"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITF51","Potenza","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",42.145,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",42.241,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y42","42 years","2021","2021",41.19,,
"ITF63","Catanzaro","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",39.394,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y45","45 years","2021","2021",37.298,,
"ITG16","Enna","LIFEXP","life expectancy - ex","9","total","Y45","45 years","2021","2021",37.467,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",36.514,,
"ITF45","Lecce","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",37.745,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",36.349,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",35.797,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y48","48 years","2021","2021",36.468,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y49","49 years","2021","2021",33.462,,
"ITF33","Napoli","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",29.851,,
"ITF43","Taranto","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",31.163,,
"ITF44","Brindisi","LIFEXP","life expectancy - ex","9","total","Y52","52 years","2021","2021",31.944,,
"ITE15","Prato","LIFEXP","life expectancy - ex","9","total","Y54","54 years","2021","2021",29.747,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",29.664,,
"ITF14","Chieti","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",29.334,,
"ITF22","Campobasso","LIFEXP","life expectancy - ex","9","total","Y55","55 years","2021","2021",28.225,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y56","56 years","2021","2021",27.171,,
"ITF45","Lecce","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",27.602,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",26.308,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y57","57 years","2021","2021",27.568,,
"ITF45","Lecce","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",25.816,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",24.508,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y59","59 years","2021","2021",24.629,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y61","61 years","2021","2021",22.947,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y62","62 years","2021","2021",21.982,,
"ITC13","Biella","LIFEXP","life expectancy - ex","9","total","Y63","63 years","2021","2021",22.354,,
"ITG19","Siracusa","LIFEXP","life expectancy - ex","9","total","Y63","63 years","2021","2021",20.458,,
"ITD41","Pordenone","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.673,,
"ITF45","Lecce","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",21.479,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",20.461,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y64","64 years","2021","2021",19.939,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",57.56,,
"ITD44","Trieste","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.455,,
"ITG27","Cagliari","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",59.148,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.709,,
"ITF31","Caserta","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",53.211,,
"ITF52","Matera","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.294,,
"ITG11","Trapani","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.274,,
"ITF22","Campobasso","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",51.892,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",51.915,,
"ITF52","Matera","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",53.329,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",50.888,,
"ITC49","Lodi","LIFEXP","life expectancy - ex","9","total","Y32","32 years","2021","2021",51.255,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y32","32 years","2021","2021",50.565,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y33","33 years","2021","2021",48.961,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y33","33 years","2021","2021",48.747,,
"ITG14","Agrigento","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",48,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",48.62,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y35","35 years","2021","2021",48.838,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y35","35 years","2021","2021",47.648,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y36","36 years","2021","2021",48.035,,
"ITF43","Taranto","LIFEXP","life expectancy - ex","9","total","Y36","36 years","2021","2021",46.39,,
"ITG11","Trapani","LIFEXP","life expectancy - ex","9","total","Y36","36 years","2021","2021",46.459,,
"ITG12","Palermo","LIFEXP","life expectancy - ex","9","total","Y36","36 years","2021","2021",45.987,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y37","37 years","2021","2021",45.137,,
"ITD59","Rimini","LIFEXP","life expectancy - ex","9","total","Y38","38 years","2021","2021",45.915,,
"ITF22","Campobasso","LIFEXP","life expectancy - ex","9","total","Y38","38 years","2021","2021",44.056,,
"ITF14","Chieti","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",44.453,,
"ITF33","Napoli","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",42.079,,
"ITF61","Cosenza","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",43.389,,
"ITG13","Messina","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",43.043,,
"ITG15","Caltanissetta","LIFEXP","life expectancy - ex","9","total","Y39","39 years","2021","2021",42.486,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y40","40 years","2021","2021",44.128,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y40","40 years","2021","2021",43.128,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",43.161,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",41.488,,
"ITF62","Crotone","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",40.935,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y41","41 years","2021","2021",41.26,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y43","43 years","2021","2021",39.58,,
"ITC43","Lecco","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",40.28,,
"ITF34","Avellino","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",38.632,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",38.387,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y44","44 years","2021","2021",39.034,,
"ITG17","Catania","LIFEXP","life expectancy - ex","9","total","Y45","45 years","2021","2021",37.435,,
"ITG28","Oristano","LIFEXP","life expectancy - ex","9","total","Y45","45 years","2021","2021",38.304,,
"ITG26","Nuoro","LIFEXP","life expectancy - ex","9","total","Y46","46 years","2021","2021",37.166,,
"ITE15","Prato","LIFEXP","life expectancy - ex","9","total","Y47","47 years","2021","2021",36.248,,
"ITF21","Isernia","LIFEXP","life expectancy - ex","9","total","Y47","47 years","2021","2021",36.065,,
"ITF41","Foggia","LIFEXP","life expectancy - ex","9","total","Y48","48 years","2021","2021",34.645,,
"ITG19","Siracusa","LIFEXP","life expectancy - ex","9","total","Y48","48 years","2021","2021",33.699,,
