"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.716,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.36,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.848,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.804,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.864,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.259,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.109,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.757,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.42,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.38,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.525,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.883,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.015,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.615,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",64.032,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.503,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.899,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.494,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.968,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.856,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.788,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",64.247,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.089,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.714,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.685,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.124,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.487,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.7,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.375,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.461,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.366,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.925,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.391,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",63.052,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.243,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.191,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.697,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.882,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.667,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.033,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.384,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.138,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.546,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",63.265,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.949,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.123,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.504,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.176,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.883,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.345,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",56.987,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.966,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.435,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.48,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.395,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.863,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.71,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.91,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.023,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.144,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.043,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.469,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.509,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.376,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",55.22,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.917,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.137,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",56.19,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",56.661,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.933,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.06,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.745,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.843,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.052,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.949,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",58.981,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.15,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",61.089,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.581,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",56.738,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.896,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.418,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.109,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.645,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",55.416,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.067,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.801,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.642,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.73,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.997,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.683,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.847,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.29,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.88,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.833,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.538,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",58.907,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.72,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.664,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",56.496,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.992,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.746,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",61.304,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",60.978,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.823,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",54.973,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.425,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.392,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.954,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.054,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.997,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.735,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",55.054,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.445,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.365,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.524,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",61.96,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.932,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",56,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",56.945,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.224,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.97,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.274,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.62,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.773,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.837,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.098,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.573,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.52,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",58.955,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.442,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y33","33 years","2021","2021",48.906,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",60.105,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",56.194,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.901,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.048,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.704,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.164,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.232,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.092,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",52.261,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",60.321,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",56.391,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.186,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.53,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.73,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.108,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.401,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",62.07,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.887,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.764,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.037,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.564,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",51.983,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",54.777,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",58.7,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.965,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y33","33 years","2021","2021",50.234,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.623,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.912,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",58.155,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.822,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.935,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.864,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.476,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.554,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.982,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",54.224,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.873,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.207,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.946,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.739,,
"ITF2","Molise","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.003,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.827,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.811,,
"ITD4","Friuli-Venezia Giulia","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.702,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.422,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",60.013,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",56.108,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.701,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",62.285,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.762,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.521,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.307,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.583,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.374,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",51.972,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.408,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.117,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.827,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.527,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.934,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",56.029,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.539,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.329,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",61.451,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",56.073,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.476,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.409,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.604,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.037,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.016,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.34,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.346,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y23","23 years","2021","2021",59.411,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.485,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.061,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.029,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.915,,
"ITG","Isole","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.096,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.528,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.126,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.207,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.817,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",59.94,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.553,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.597,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",53.018,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.684,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.635,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.556,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",54.245,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",57.971,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.978,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.042,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",52.287,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",58.787,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.571,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.856,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",52.966,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.737,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.227,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.502,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",53.267,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",50.5,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.486,,
"ITE","Centro (I)","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.431,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.25,,
"ITF","Sud","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.005,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.435,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.964,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y27","27 years","2021","2021",55.919,,
"ITF1","Abruzzo","LIFEXP","life expectancy - ex","9","total","Y34","34 years","2021","2021",49.234,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",55.513,,
"ITG2","Sardegna","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",54.154,,
"ITD5","Emilia-Romagna","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.468,,
"ITE3","Marche","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",59.443,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",53.242,,
"ITD","Nord-est","LIFEXP","life expectancy - ex","9","total","Y30","30 years","2021","2021",53.661,,
"ITF3","Campania","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",57.173,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y28","28 years","2021","2021",54.072,,
"ITF6","Calabria","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",56.165,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",58.146,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.197,,
"ITD3","Veneto","LIFEXP","life expectancy - ex","9","total","Y26","26 years","2021","2021",57.792,,
"ITG1","Sicilia","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",52.819,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.929,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y24","24 years","2021","2021",57.998,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.884,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y29","29 years","2021","2021",53.95,,
"ITD2","Provincia Autonoma Trento","LIFEXP","life expectancy - ex","9","total","Y31","31 years","2021","2021",53.458,,
